month,year,BORO,num_shootings
8,2016,BROOKLYN,68
8,2016,MANHATTAN,18
8,2016,QUEENS,14
8,2016,STATEN ISLAND,6
8,2017,BRONX,26
8,2017,BROOKLYN,31
8,2017,MANHATTAN,8
8,2017,QUEENS,13
8,2017,STATEN ISLAND,5
8,2018,BRONX,24
8,2018,BROOKLYN,28
8,2018,MANHATTAN,9
8,2018,QUEENS,11
8,2018,STATEN ISLAND,4
8,2019,BRONX,24
8,2019,BROOKLYN,32
8,2019,MANHATTAN,12
8,2019,QUEENS,20
8,2019,STATEN ISLAND,3
9,2006,BRONX,49
9,2006,BROOKLYN,61
9,2006,MANHATTAN,24
9,2006,QUEENS,17
9,2006,STATEN ISLAND,1
9,2007,BRONX,36
9,2007,BROOKLYN,65
9,2007,MANHATTAN,12
9,2007,QUEENS,15
9,2007,STATEN ISLAND,4
9,2008,BRONX,34
9,2008,BROOKLYN,61
9,2008,MANHATTAN,22
9,2008,QUEENS,28
9,2008,STATEN ISLAND,6
9,2009,BRONX,25
9,2009,BROOKLYN,55
9,2009,MANHATTAN,11
9,2009,QUEENS,25
9,2010,BRONX,39
9,2010,BROOKLYN,71
9,2010,MANHATTAN,14
9,2010,QUEENS,14
9,2010,STATEN ISLAND,5
9,2011,BRONX,50
9,2011,BROOKLYN,74
9,2011,MANHATTAN,17
9,2011,QUEENS,23
9,2011,STATEN ISLAND,4
9,2012,BRONX,31
9,2012,BROOKLYN,52
9,2012,MANHATTAN,13
9,2012,QUEENS,24
9,2012,STATEN ISLAND,5
9,2013,BRONX,27
9,2013,BROOKLYN,54
9,2013,MANHATTAN,11
9,2013,QUEENS,14
9,2013,STATEN ISLAND,1
9,2014,BRONX,24
9,2014,BROOKLYN,46
9,2014,MANHATTAN,8
9,2014,QUEENS,14
9,2014,STATEN ISLAND,4
9,2015,BRONX,30
9,2015,BROOKLYN,40
9,2015,MANHATTAN,17
9,2015,QUEENS,7
9,2015,STATEN ISLAND,4
9,2016,BRONX,19
9,2016,BROOKLYN,50
9,2016,MANHATTAN,17
9,2016,QUEENS,18
9,2016,STATEN ISLAND,4
9,2017,BRONX,25
9,2017,BROOKLYN,33
9,2017,MANHATTAN,9
9,2017,QUEENS,10
9,2017,STATEN ISLAND,2
9,2018,BRONX,20
9,2018,BROOKLYN,34
9,2018,MANHATTAN,6
9,2018,QUEENS,10
9,2018,STATEN ISLAND,1
9,2019,BRONX,19
9,2019,BROOKLYN,25
9,2019,MANHATTAN,11
9,2019,QUEENS,9
9,2019,STATEN ISLAND,3
10,2006,BRONX,38
10,2006,BROOKLYN,57
10,2006,MANHATTAN,25
10,2006,QUEENS,28
10,2006,STATEN ISLAND,2
10,2007,BRONX,42
10,2007,BROOKLYN,66
10,2007,MANHATTAN,16
10,2007,QUEENS,21
10,2007,STATEN ISLAND,3
10,2008,BRONX,24
10,2008,BROOKLYN,47
10,2008,MANHATTAN,17
10,2008,QUEENS,23
10,2008,STATEN ISLAND,6
10,2009,BRONX,29
10,2009,BROOKLYN,43
10,2009,MANHATTAN,13
10,2009,QUEENS,23
10,2009,STATEN ISLAND,1
10,2010,BRONX,31
10,2010,BROOKLYN,50
10,2010,MANHATTAN,14
10,2010,QUEENS,14
10,2011,BRONX,44
10,2011,BROOKLYN,65
10,2011,MANHATTAN,19
10,2011,QUEENS,23
10,2011,STATEN ISLAND,4
10,2012,BRONX,34
10,2012,BROOKLYN,34
10,2012,MANHATTAN,8
10,2012,QUEENS,10
10,2012,STATEN ISLAND,4
10,2013,BRONX,27
10,2013,BROOKLYN,51
10,2013,MANHATTAN,9
10,2013,QUEENS,11
10,2013,STATEN ISLAND,3
10,2014,BRONX,23
10,2014,BROOKLYN,46
10,2014,MANHATTAN,4
10,2014,QUEENS,14
10,2014,STATEN ISLAND,6
10,2015,BRONX,22
10,2015,BROOKLYN,30
10,2015,MANHATTAN,12
10,2015,QUEENS,13
10,2015,STATEN ISLAND,4
10,2016,BRONX,27
10,2016,BROOKLYN,25
10,2016,MANHATTAN,17
10,2016,QUEENS,14
10,2016,STATEN ISLAND,1
10,2017,BRONX,15
10,2017,BROOKLYN,30
10,2017,MANHATTAN,7
10,2017,QUEENS,18
10,2017,STATEN ISLAND,3
10,2018,BRONX,31
10,2018,BROOKLYN,23
10,2018,MANHATTAN,6
10,2018,QUEENS,5
10,2018,STATEN ISLAND,3
10,2019,BRONX,17
10,2019,BROOKLYN,21
10,2019,MANHATTAN,11
10,2019,QUEENS,12
10,2019,STATEN ISLAND,1
11,2006,BRONX,28
11,2006,BROOKLYN,55
11,2006,MANHATTAN,17
11,2006,QUEENS,18
11,2006,STATEN ISLAND,3
11,2007,BRONX,25
11,2007,BROOKLYN,44
11,2007,MANHATTAN,12
11,2007,QUEENS,15
11,2007,STATEN ISLAND,3
11,2008,BRONX,31
11,2008,BROOKLYN,40
11,2008,MANHATTAN,13
11,2008,QUEENS,14
11,2008,STATEN ISLAND,3
11,2009,BRONX,37
11,2009,BROOKLYN,44
11,2009,MANHATTAN,13
11,2009,QUEENS,20
11,2009,STATEN ISLAND,8
11,2010,BRONX,32
11,2010,BROOKLYN,46
11,2010,MANHATTAN,12
11,2010,QUEENS,17
11,2010,STATEN ISLAND,1
11,2011,BRONX,35
11,2011,BROOKLYN,48
11,2011,MANHATTAN,14
11,2011,QUEENS,10
11,2011,STATEN ISLAND,4
11,2012,BRONX,25
11,2012,BROOKLYN,36
11,2012,MANHATTAN,6
11,2012,QUEENS,16
11,2012,STATEN ISLAND,4
11,2013,BRONX,32
11,2013,BROOKLYN,25
11,2013,MANHATTAN,13
11,2013,QUEENS,6
11,2013,STATEN ISLAND,6
11,2014,BRONX,26
11,2014,BROOKLYN,41
11,2014,MANHATTAN,13
11,2014,QUEENS,8
11,2014,STATEN ISLAND,1
11,2015,BRONX,24
11,2015,BROOKLYN,36
11,2015,MANHATTAN,8
11,2015,QUEENS,10
11,2015,STATEN ISLAND,2
11,2016,BRONX,12
11,2016,BROOKLYN,29
11,2016,MANHATTAN,13
11,2016,QUEENS,9
11,2016,STATEN ISLAND,2
11,2017,BRONX,10
11,2017,BROOKLYN,13
11,2017,MANHATTAN,9
11,2017,QUEENS,14
11,2017,STATEN ISLAND,2
11,2018,BRONX,15
11,2018,BROOKLYN,26
11,2018,MANHATTAN,8
11,2018,QUEENS,6
11,2019,BRONX,20
11,2019,BROOKLYN,17
11,2019,MANHATTAN,6
11,2019,QUEENS,5
11,2019,STATEN ISLAND,2
12,2006,BRONX,35
12,2006,BROOKLYN,66
12,2006,MANHATTAN,13
12,2006,QUEENS,17
12,2006,STATEN ISLAND,1
12,2007,BRONX,24
12,2007,BROOKLYN,42
12,2007,MANHATTAN,12
12,2007,QUEENS,11
12,2007,STATEN ISLAND,6
12,2008,BRONX,33
12,2008,BROOKLYN,57
12,2008,MANHATTAN,11
12,2008,QUEENS,21
12,2008,STATEN ISLAND,4
12,2009,BRONX,29
12,2009,BROOKLYN,34
12,2009,MANHATTAN,14
12,2009,QUEENS,17
12,2009,STATEN ISLAND,3
12,2010,BRONX,32
12,2010,BROOKLYN,37
12,2010,MANHATTAN,19
12,2010,QUEENS,18
12,2010,STATEN ISLAND,2
12,2011,BRONX,31
12,2011,BROOKLYN,44
12,2011,MANHATTAN,18
12,2011,QUEENS,22
12,2011,STATEN ISLAND,4
12,2012,BRONX,21
12,2012,BROOKLYN,30
12,2012,MANHATTAN,14
12,2012,QUEENS,18
12,2012,STATEN ISLAND,2
12,2013,BRONX,17
12,2013,BROOKLYN,35
12,2013,MANHATTAN,10
12,2013,QUEENS,10
12,2013,STATEN ISLAND,7
12,2014,BRONX,35
